id,exposed,outcome
1,1,1
2,1,0
3,1,1
4,1,0
5,0,0
6,0,0
7,1,0
8,0,0
9,1,0
10,0,1
11,1,1
12,0,0
13,0,1
14,0,0
15,1,0
16,1,0
17,0,0
18,1,0
19,1,1
20,1,1
21,1,1
22,1,0
23,1,0
24,0,0
25,0,0
26,0,0
27,1,1
28,1,1
29,0,0
30,0,0
31,1,1
32,1,0
33,0,0
34,1,0
35,0,0
36,1,1
37,1,0
38,0,1
39,0,0
40,0,0
41,0,0
42,1,1
43,1,0
44,1,0
45,1,0
46,1,0
47,1,0
48,1,1
49,0,0
50,0,1
51,1,0
52,1,1
53,1,0
54,0,0
55,1,1
56,0,1
57,1,0
58,1,1
59,1,0
60,1,1
61,0,1
62,1,0
63,0,0
64,1,1
65,1,1
66,1,1
67,0,0
68,0,0
69,1,0
70,0,0
71,1,0
72,0,1
73,0,1
74,0,0
75,1,0
76,0,0
77,0,0
78,1,1
79,1,1
80,0,0
81,0,0
82,0,0
83,1,1
84,0,0
85,0,0
86,0,0
87,0,0
88,0,0
89,0,0
90,1,1
91,1,0
92,1,0
93,0,0
94,1,0
95,0,0
96,1,0
97,1,0
98,1,0
99,1,1
100,0,1
101,1,0
102,1,0
103,0,0
104,1,0
105,0,0
106,1,0
107,1,0
108,1,0
109,1,0
110,0,1
111,0,0
112,1,1
113,0,0
114,1,0
115,0,0
116,0,0
117,1,0
118,0,1
119,0,1
120,0,0
121,1,0
122,1,0
123,1,1
124,1,1
125,1,0
126,1,0
127,0,1
128,0,0
129,1,0
130,0,0
131,0,0
132,0,1
133,1,0
134,0,0
135,0,0
136,0,0
137,0,0
138,1,0
139,0,1
140,0,0
141,1,0
142,1,0
143,0,0
144,0,0
145,0,1
146,1,0
147,1,0
148,1,0
149,1,0
150,0,0
151,0,1
152,1,0
153,0,0
154,0,1
155,0,0
156,1,1
157,1,1
158,0,0
159,0,1
160,0,0
161,0,0
162,1,1
163,1,0
164,1,0
165,1,1
166,1,1
167,1,0
168,1,0
169,1,0
170,1,0
171,0,0
172,1,0
173,1,1
174,0,0
175,0,0
176,1,1
177,0,1
178,1,0
179,0,1
180,1,0
181,0,0
182,1,1
183,1,0
184,0,1
185,1,0
186,1,1
187,1,0
188,0,1
189,1,0
190,0,0
191,0,0
192,1,0
193,0,0
194,0,0
195,0,1
196,1,1
197,0,0
198,1,0
199,1,1
200,1,0
201,1,0
202,0,0
203,1,0
204,0,0
205,0,0
206,1,0
207,0,0
208,0,0
209,0,0
210,0,0
211,1,1
212,1,0
213,1,0
214,1,1
215,0,0
216,1,0
217,0,1
218,1,0
219,0,0
220,0,0
221,0,0
222,0,0
223,1,1
224,1,1
225,0,0
226,1,0
227,0,0
228,1,1
229,0,0
230,1,0
231,0,1
232,0,0
233,0,0
234,0,0
235,0,0
236,1,0
237,0,0
238,1,0
239,1,0
240,0,0
241,0,0
242,1,0
243,1,0
244,0,0
245,0,1
246,1,1
247,0,0
248,1,1
249,1,0
250,1,0
251,0,0
252,0,0
253,0,0
254,1,1
255,1,0
256,1,0
257,0,0
258,0,0
259,1,0
260,1,0
261,1,0
262,1,1
263,0,0
264,0,0
265,1,0
266,0,0
267,0,0
268,0,0
269,0,0
270,0,0
271,0,0
272,0,1
273,0,0
274,1,1
275,1,0
276,1,0
277,0,1
278,1,1
279,1,0
280,1,0
281,0,0
282,1,1
283,0,0
284,0,0
285,0,0
286,0,0
287,1,0
288,1,0
289,0,0
290,1,1
291,0,0
292,0,0
293,1,0
294,0,0
295,0,0
296,1,0
297,1,0
298,1,0
299,0,0
300,1,0
301,1,0
302,0,0
303,1,0
304,0,0
305,1,1
306,1,0
307,1,1
308,0,0
309,1,0
310,1,0
311,0,0
312,1,1
313,0,0
314,1,0
315,0,0
316,0,0
317,0,0
318,0,0
319,0,0
320,1,1
321,1,0
322,0,1
323,1,1
324,1,1
325,0,1
326,0,0
327,0,0
328,0,0
329,0,0
330,0,0
331,1,1
332,1,0
333,0,0
334,1,0
335,0,0
336,0,0
337,1,0
338,1,0
339,0,0
340,1,1
341,0,0
342,0,0
343,0,0
344,1,0
345,1,1
346,0,0
347,0,0
348,0,0
349,1,1
350,0,0
351,1,0
