stratum,psu,weight,domain,outcome
1,1,100.0,0,0
1,1,100.0,1,0
1,1,100.0,1,0
1,1,100.0,1,0
1,1,100.0,0,0
1,1,100.0,1,0
1,1,100.0,0,0
1,1,100.0,1,0
1,1,100.0,1,0
1,1,100.0,0,0
1,1,100.0,1,0
1,1,100.0,1,0
1,1,100.0,1,0
1,1,100.0,0,0
1,1,100.0,0,0
1,1,100.0,1,0
1,1,100.0,0,0
1,1,100.0,1,0
1,1,100.0,1,0
1,1,100.0,0,0
1,2,100.0,1,0
1,2,100.0,0,0
1,2,100.0,1,1
1,2,100.0,1,0
1,2,100.0,0,0
1,2,100.0,1,0
1,2,100.0,0,0
1,2,100.0,1,1
1,2,100.0,0,0
1,2,100.0,0,0
1,2,100.0,0,0
1,2,100.0,1,0
1,2,100.0,0,0
1,2,100.0,1,0
1,2,100.0,1,0
1,2,100.0,1,0
1,2,100.0,1,1
1,2,100.0,1,0
1,2,100.0,1,0
1,2,100.0,1,0
1,3,100.0,0,0
1,3,100.0,1,1
1,3,100.0,1,0
1,3,100.0,1,0
1,3,100.0,0,0
1,3,100.0,0,0
1,3,100.0,1,0
1,3,100.0,0,1
1,3,100.0,1,0
1,3,100.0,1,0
1,3,100.0,1,0
1,3,100.0,0,0
1,3,100.0,1,0
1,3,100.0,1,0
1,3,100.0,1,0
1,3,100.0,1,0
1,3,100.0,0,0
1,3,100.0,1,0
1,3,100.0,0,0
1,3,100.0,0,0
1,4,100.0,0,0
1,4,100.0,1,1
1,4,100.0,1,1
1,4,100.0,1,0
1,4,100.0,1,0
1,4,100.0,0,0
1,4,100.0,0,1
1,4,100.0,1,1
1,4,100.0,1,1
1,4,100.0,1,0
1,4,100.0,0,0
1,4,100.0,0,0
1,4,100.0,0,0
1,4,100.0,1,0
1,4,100.0,1,0
1,4,100.0,1,0
1,4,100.0,1,0
1,4,100.0,0,0
1,4,100.0,1,1
1,4,100.0,1,0
1,5,100.0,1,0
1,5,100.0,1,0
1,5,100.0,1,0
1,5,100.0,1,0
1,5,100.0,1,0
1,5,100.0,0,0
1,5,100.0,1,0
1,5,100.0,0,0
1,5,100.0,1,0
1,5,100.0,0,0
1,5,100.0,1,0
