set_id,case,exposed,covariate
1,0,0,-0.552483
1,0,1,-1.355797
1,1,1,-0.017678
2,1,0,-0.256787
2,0,0,-0.154615
2,0,0,0.477631
3,0,1,2.061167
3,1,0,-0.102103
3,0,1,-0.392055
4,1,1,0.405883
4,0,1,0.882789
4,0,0,-1.283797
5,0,0,-2.081962
5,1,0,1.410107
5,0,0,-2.598357
6,0,1,0.24676
6,0,1,0.304968
6,1,0,1.515321
7,0,0,-0.614458
7,1,0,1.270339
7,0,0,-0.969135
8,1,0,0.392039
8,0,0,0.582425
8,0,1,0.499255
9,0,0,0.230291
9,0,0,0.537171
9,1,0,-0.371699
10,0,1,-0.340551
10,1,1,0.288038
10,0,0,-0.08081
11,1,0,0.010232
11,0,0,0.32252
11,0,0,-0.21295
12,0,1,-0.176237
12,0,0,2.095928
12,1,1,-0.703336
13,0,0,-0.010416
13,1,0,1.9836
13,0,0,0.072049
14,1,0,1.24464
14,0,0,0.053728
14,0,1,-0.312258
15,0,1,-0.520382
15,0,0,-0.246442
15,1,0,0.986729
16,0,1,-0.714551
16,1,0,0.090157
16,0,0,-0.857398
17,0,0,-1.50684
17,1,0,0.099805
17,0,0,1.956013
18,0,0,-0.485375
18,1,0,0.42621
18,0,0,0.517335
19,1,0,3.142283
19,0,0,0.394038
19,0,1,-1.790789
20,0,0,0.242791
20,0,0,-0.012593
20,1,1,2.372386
21,0,0,1.362919
21,0,0,0.614264
21,1,1,0.699101
22,0,0,-0.264588
22,0,0,-2.345157
22,1,1,0.129562
23,0,0,-1.612944
23,1,0,0.817719
23,0,0,0.086645
24,0,1,0.052789
24,1,1,0.928613
24,0,0,0.348093
25,0,0,0.113124
25,1,0,-1.470737
25,0,0,-0.335137
26,0,0,2.35934
26,0,0,1.638821
26,1,0,-2.244556
27,0,0,0.685162
27,1,1,0.574299
27,0,0,0.555261
28,1,1,0.723472
28,0,1,-0.115769
28,0,0,-1.780046
29,1,0,0.441761
29,0,0,-1.842163
29,0,0,-0.924171
30,0,0,0.142182
30,1,1,-1.243949
30,0,0,-0.104956
31,0,0,-1.052517
31,1,1,0.879822
31,0,1,-0.130744
32,0,0,-1.117116
32,1,1,1.680231
32,0,0,-1.205002
33,0,1,1.027657
33,1,0,0.537956
33,0,1,1.190361
34,0,1,-3.192258
34,0,1,1.29131
34,1,0,0.762387
35,0,1,-0.03808
35,1,0,0.595533
35,0,1,-0.142909
36,1,0,0.044316
36,0,0,-0.758248
36,0,0,-1.017026
37,0,0,-0.376129
37,1,0,-1.339677
37,0,0,0.793561
38,1,1,0.848055
38,0,0,-1.135781
38,0,1,0.796752
39,1,1,-0.708073
39,0,0,-0.076569
39,0,0,-1.194663
40,1,0,1.618202
40,0,1,0.564834
40,0,1,0.713771
41,1,0,0.152892
41,0,0,-0.406191
41,0,0,-0.314682
42,1,0,1.901893
42,0,0,0.910837
42,0,0,-0.202665
43,1,1,-0.053932
43,0,0,0.666511
43,0,0,1.213758
44,1,0,0.059377
44,0,0,-0.10957
44,0,0,1.258138
45,0,0,-0.501106
45,1,1,0.259509
45,0,0,-0.782098
46,0,1,0.61266
46,0,0,1.363794
46,1,1,0.920271
47,0,0,0.092993
47,0,0,0.314781
47,1,1,0.240077
48,1,0,-0.145088
48,0,0,-0.447328
48,0,0,-0.093736
49,0,0,-0.941027
49,0,0,1.047992
49,1,0,-0.178704
50,1,1,0.883595
50,0,1,1.096049
50,0,0,1.302865
51,1,0,0.949475
51,0,0,0.889826
51,0,0,-1.089341
52,1,1,0.084374
52,0,0,0.002729
52,0,0,-0.144346
53,1,0,0.716151
53,0,0,1.511024
53,0,0,-0.403936
54,0,0,1.245855
54,1,1,-0.710466
54,0,1,0.655269
55,0,0,-0.318782
55,0,1,-0.230589
55,1,1,-0.243546
56,0,0,-0.545266
56,0,1,-0.02914
56,1,0,1.207955
57,0,0,-0.384483
57,1,0,-0.489627
57,0,0,-1.211354
58,0,0,0.82993
58,0,0,-1.49551
58,1,0,0.163561
59,1,1,2.335028
59,0,1,-1.213939
59,0,0,0.060746
60,1,0,0.743336
60,0,0,1.423366
60,0,0,2.046463
61,0,1,-0.013361
61,0,0,-0.596997
61,1,0,1.911261
62,0,0,-1.955403
62,1,1,1.74651
62,0,1,2.267353
63,0,0,0.014761
63,0,0,0.149511
63,1,1,0.480208
64,0,0,-0.220438
64,1,0,-0.934802
64,0,0,-0.338508
65,1,0,0.180459
65,0,0,-2.116828
65,0,0,-0.047552
66,0,0,1.308166
66,1,1,0.96031
66,0,0,-1.007469
67,0,0,1.280372
67,0,0,-0.062762
67,1,0,-0.613706
68,0,1,-0.579953
68,0,1,-0.2939
68,1,1,0.212436
69,1,0,1.726411
69,0,1,-0.004946
69,0,1,1.01979
70,0,0,1.327127
70,0,1,-0.524889
70,1,0,1.612072
71,0,0,-0.410328
71,0,1,-1.570501
71,1,1,-0.682306
72,0,1,-0.768854
72,1,0,0.709373
72,0,0,-0.671374
73,0,1,-1.100977
73,1,0,-0.00828
73,0,1,0.433815
74,0,0,-0.290245
74,0,0,0.599388
74,1,1,-0.698759
75,0,0,0.482826
