id,time,event,exposed,covariate
1,0.9,1,0,-0.458366
2,12.0,0,0,1.243968
3,2.5,1,1,0.375897
4,12.0,0,0,-2.320876
5,0.5,1,1,1.106521
6,12.0,0,1,1.018371
7,0.7,1,1,1.243835
8,12.0,0,1,-0.961689
9,4.2,1,1,-0.642439
10,12.0,0,0,0.034393
11,12.0,0,0,1.588955
12,12.0,0,0,0.484525
13,10.4,1,0,0.978315
14,6.7,1,1,-0.077936
15,12.0,0,1,0.251264
16,12.0,0,0,0.655491
17,12.0,0,0,-0.28048
18,12.0,0,0,1.010378
19,12.0,0,0,-0.358186
20,12.0,0,0,-1.041533
21,1.1,1,1,-0.007512
22,8.9,1,0,0.243915
23,5.4,1,0,-0.794963
24,12.0,0,1,-2.011921
25,0.3,1,0,0.861828
26,0.8,1,0,0.326225
27,4.1,1,0,-0.818362
28,11.4,1,0,-0.839705
29,1.7,1,0,1.245657
30,1.1,1,0,0.605037
31,12.0,0,1,-1.677953
32,12.0,0,1,-1.765136
33,9.6,1,0,1.19101
34,12.0,0,1,0.487086
35,12.0,0,0,-0.630435
36,12.0,0,0,0.449068
37,3.5,1,0,0.661633
38,3.3,1,0,0.210193
39,8.3,1,1,-0.825824
40,12.0,0,0,-0.006967
41,12.0,0,0,-0.262421
42,7.3,1,0,0.080435
43,12.0,0,0,-1.888885
44,10.1,1,0,-0.161438
45,4.2,1,1,0.72868
46,12.0,0,0,-0.962981
47,5.3,1,0,-0.548373
48,12.0,0,0,0.041043
49,12.0,0,1,1.733331
50,12.0,0,0,-0.017991
51,12.0,0,1,1.080854
52,12.0,0,0,0.362656
53,11.2,1,1,0.383603
54,12.0,0,1,-0.151749
55,7.4,1,0,0.538096
56,12.0,0,1,-0.033465
57,12.0,0,0,1.157046
58,12.0,0,0,0.257946
59,12.0,0,1,-0.294882
60,12.0,0,0,-1.818306
61,4.2,1,1,-0.523374
62,0.8,1,1,2.218936
63,5.9,1,1,0.118698
64,11.8,1,1,0.321648
65,12.0,0,0,-0.384429
66,12.0,0,0,1.106712
67,12.0,0,0,-0.582357
68,12.0,0,1,-0.380657
69,12.0,0,0,1.757984
70,4.8,1,1,-0.233635
71,6.0,1,0,0.192296
72,6.4,1,1,0.473248
73,2.7,1,1,0.027213
74,12.0,0,0,0.758269
75,12.0,0,0,0.018127
76,8.5,1,0,0.337196
77,0.2,1,0,1.861705
78,1.7,1,1,-1.73888
79,12.0,0,0,0.103747
80,7.9,1,0,1.195763
81,1.0,1,0,-0.150594
82,10.4,1,0,-0.918972
83,12.0,0,1,-1.26958
84,5.1,1,0,0.811709
85,8.0,1,0,0.750115
86,9.8,1,1,-0.686328
87,12.0,0,1,-0.62076
88,9.3,1,1,-0.132413
89,2.6,1,0,0.206045
90,12.0,0,1,-0.007933
91,1.7,1,0,0.551668
92,12.0,0,1,-2.883782
93,9.6,1,0,0.373284
94,0.5,1,1,0.689276
95,12.0,0,0,0.756514
96,8.3,1,1,-1.231319
97,12.0,0,0,-0.631528
98,11.3,1,1,0.974455
99,9.1,1,0,-0.673267
100,12.0,0,1,0.452981
101,2.1,1,1,-0.532894
102,12.0,0,0,-0.488134
103,5.9,1,1,1.417125
104,12.0,0,0,-0.827327
105,1.7,1,1,1.076079
106,7.5,1,1,-1.254746
107,9.4,1,1,0.175239
108,12.0,0,0,0.091975
109,1.9,1,0,0.736333
110,12.0,0,1,0.72409
111,12.0,0,0,-2.567353
112,3.3,1,0,-0.34984
113,12.0,0,0,0.703284
114,12.0,0,1,-0.099085
115,12.0,0,0,0.034016
116,10.0,1,0,0.126055
117,0.2,1,1,-1.320925
118,12.0,0,0,-0.424865
119,3.4,1,1,0.757248
120,12.0,0,0,1.629533
121,7.0,1,1,-0.538047
122,12.0,0,1,-0.02931
123,0.1,1,1,0.229954
124,12.0,0,0,-0.465473
125,12.0,0,1,0.169129
126,6.1,1,0,0.086672
127,1.7,1,0,0.691962
128,10.5,1,0,-1.02152
129,12.0,0,0,1.019295
130,12.0,0,0,-0.748126
131,9.6,1,0,0.513677
132,0.9,1,1,-0.279342
133,2.9,1,1,0.155386
134,12.0,0,1,-1.612788
135,12.0,0,0,-1.97575
136,1.5,1,0,0.120591
137,12.0,0,0,-0.080954
138,0.2,1,0,0.465301
139,8.4,1,0,-0.509214
140,10.0,1,0,0.29917
141,3.3,1,0,-0.363962
142,12.0,0,1,-1.273851
143,11.1,1,0,-0.567924
