id,treated,L,outcome
1,1,0.026902,0
2,1,0.649742,1
3,0,1.024976,1
4,0,-0.102092,0
5,0,1.409997,1
6,1,0.796742,0
7,0,0.493363,1
8,0,-0.092427,0
9,1,0.004711,0
10,1,-1.22951,0
11,1,-0.081959,0
12,1,0.264515,0
13,0,-1.144615,0
14,1,-0.556892,0
15,0,0.266733,0
16,1,-0.625612,1
17,1,-1.420181,0
18,0,-0.627836,1
19,1,1.046761,1
20,0,0.15332,0
21,1,0.146504,1
22,0,-0.669603,0
23,1,-0.916934,0
24,0,0.33176,1
25,0,2.125768,1
26,0,-0.70244,0
27,0,0.619106,1
28,1,1.40546,0
29,1,1.088604,1
30,1,0.885684,1
31,1,-0.170137,0
32,1,-0.275034,1
33,1,-0.229187,1
34,0,0.384052,0
35,0,-0.060879,1
36,0,1.341539,1
37,0,-0.117463,1
38,0,-0.378338,0
39,1,1.908983,1
40,1,-0.216717,0
41,0,0.836687,1
42,1,-0.924109,0
43,0,-0.967909,0
44,1,-0.43281,0
45,1,-0.356209,1
46,0,-1.304833,0
47,1,-2.522288,0
48,0,-0.270883,0
49,1,0.219299,0
50,1,1.240486,0
51,1,0.780365,1
52,1,0.864729,1
53,1,-2.977556,0
54,0,-0.902866,0
55,0,-0.023996,0
56,0,1.301558,1
57,1,-1.611038,0
58,0,-0.281131,0
59,0,-0.808637,0
60,1,2.69963,1
61,1,1.578052,1
62,1,0.424547,1
63,1,1.00113,1
64,1,0.167422,0
65,1,1.137768,1
66,0,0.683851,1
67,0,-1.481255,0
68,0,0.745451,0
69,1,0.220615,0
70,1,-1.908225,0
71,1,-0.407845,0
72,1,1.346744,0
73,1,-0.351322,0
74,0,-0.346242,0
75,0,1.303762,0
76,1,1.998754,1
77,0,-1.008316,0
78,0,-1.468718,0
79,0,0.056237,0
80,1,0.022195,0
81,1,2.374399,1
82,0,-0.178658,0
83,1,0.259509,1
84,1,0.716186,1
85,1,1.32677,0
86,1,0.643806,1
87,0,0.276848,0
88,0,0.285117,0
89,1,-0.633155,0
90,1,-0.178017,1
91,1,-1.317678,0
92,0,-0.086892,1
93,0,-0.591397,0
94,1,1.879759,0
95,0,-1.116901,0
96,1,0.637212,1
97,0,-0.916712,0
98,1,-1.237941,1
99,1,1.192377,0
100,0,-2.087355,0
101,1,2.0416,1
102,0,0.931859,0
103,1,-0.814965,0
104,0,-0.699054,0
105,0,0.348021,0
