id,y,exposed,covariate
1,3.526628,1,0.189212
2,2.107992,0,-0.091517
3,0.366581,0,2.849834
4,-0.466061,1,1.390002
5,0.117445,1,0.047684
6,3.449463,1,1.409997
7,1.82563,0,0.714593
8,1.445157,1,0.383787
9,1.94193,0,1.449833
10,3.010582,0,-0.365623
11,1.514546,1,1.644133
12,3.301274,0,-1.028151
13,3.231255,1,0.448808
14,3.290656,1,-0.081959
15,1.879624,1,0.779222
16,1.325637,0,-0.602708
17,2.361272,0,-1.131556
18,2.273959,0,0.290297
19,5.286668,1,0.737659
20,1.455069,1,-0.887145
21,3.666787,1,-0.007678
22,2.396172,0,-1.420181
23,-1.282797,1,1.165908
24,3.056906,1,0.186926
25,4.263891,1,-1.110074
26,1.805894,1,1.666649
27,0.761857,0,1.210166
28,2.834375,1,0.040018
29,3.813381,1,-0.909999
30,3.822459,1,-0.916934
31,3.318108,1,-0.187974
32,2.375993,0,-0.305628
33,0.545504,0,1.86144
34,4.516564,1,0.544666
35,3.749576,1,0.180331
36,1.550649,0,0.72277
37,6.218577,1,-0.623967
38,3.76136,1,1.088604
39,3.245501,1,0.337855
40,2.788825,1,0.781195
41,1.919677,0,0.240322
42,1.907365,0,-0.524405
43,2.532471,1,0.898019
44,3.520162,1,-0.479352
45,2.053146,0,-1.064524
46,5.111055,1,-0.060879
47,2.379978,0,-0.598927
48,1.643121,0,0.600467
49,1.550908,0,1.84524
50,4.98406,1,1.90037
51,4.002568,0,-2.089771
52,2.057418,0,0.088589
53,2.372348,1,1.59095
54,0.810671,1,0.836687
55,2.312627,0,0.117317
56,1.937328,1,-0.53276
57,3.392213,0,-1.893254
58,2.458825,1,-0.604935
59,2.886683,0,-1.552548
60,2.122154,0,0.424337
61,2.705111,1,-0.1539
62,3.125702,0,-2.522288
63,-1.342924,1,-0.810727
64,2.132669,0,1.560331
65,2.78821,1,-0.461774
66,2.386488,0,-0.601826
67,1.97845,0,0.39895
68,2.934349,0,-0.994756
69,2.158546,0,-0.128771
70,3.037345,0,-2.977556
71,4.464864,1,-0.79247
72,2.18609,0,0.549772
73,2.351107,1,-1.408207
74,0.140967,1,1.229469
75,3.300062,1,1.0635
76,1.25315,0,2.265434
77,2.38006,0,-1.319396
78,3.754134,0,-0.808637
79,1.856268,0,1.219908
80,1.748281,1,-0.543013
81,1.304218,1,-0.074355
82,1.902198,0,0.384861
83,1.947828,0,0.207104
84,4.670949,1,0.336488
85,2.469771,0,1.810907
86,1.773041,0,1.137768
87,1.899884,0,-0.821793
88,1.678673,0,0.34948
89,-0.356081,1,-0.033578
90,2.290532,0,-1.652364
91,2.779531,0,-1.704045
92,2.154474,0,0.83364
93,2.527427,0,0.541869
94,2.877295,0,-0.407845
95,1.593648,1,-1.005755
96,-0.248043,0,2.836819
97,1.949792,0,0.813536
98,3.138625,0,-0.21448
99,1.869968,1,0.399208
100,1.15449,0,1.272467
101,2.158814,0,0.243254
102,1.769799,0,-1.008316
103,2.134146,0,1.000124
104,2.415538,0,-0.512371
105,1.89865,1,1.875875
106,2.077768,0,-0.299755
107,1.862588,0,-1.962089
108,1.826144,0,0.665701
109,2.019806,1,0.228539
110,2.228338,0,0.259509
111,2.581978,0,-0.045767
112,3.62463,0,-0.449746
113,1.944378,1,-0.373597
114,1.624,0,-0.108389
115,2.544673,1,-0.440616
116,1.821878,1,1.229815
117,1.348185,0,0.491933
118,2.813949,1,-0.633155
119,0.756883,1,-0.91866
120,1.936492,1,2.220133
121,2.107962,0,-0.496353
122,4.338463,1,-1.70613
123,2.169911,0,0.400775
124,2.334305,0,-0.415332
125,5.636181,1,-2.332447
126,4.441712,1,-1.116901
127,2.462715,0,-1.866572
128,5.687815,1,-0.850087
129,1.601717,0,-0.452402
130,1.718325,0,0.295432
131,3.408472,1,1.68682
132,3.465374,0,-1.532811
133,4.749056,1,-0.206623
134,1.445129,0,2.0416
135,1.374369,0,0.289319
136,0.742995,0,1.503808
137,2.406679,0,-0.576915
