id,exposed,covariate,outcome
1,0,-0.458366,1
2,0,1.243968,0
3,1,0.375897,0
4,0,-2.320876,0
5,1,1.106521,1
6,1,1.018371,0
7,1,1.243835,1
8,1,-0.961689,0
9,1,-0.642439,0
10,0,0.034393,0
11,0,1.588955,0
12,0,0.484525,0
13,0,0.978315,0
14,1,-0.077936,0
15,1,0.251264,0
16,0,0.655491,0
17,0,-0.28048,0
18,0,1.010378,0
19,0,-0.358186,0
20,0,-1.041533,0
21,1,-0.007512,1
22,0,0.243915,0
23,0,-0.794963,0
24,0,-2.011921,0
25,0,0.861828,1
26,0,0.326225,1
27,0,-0.818362,0
28,0,-0.839705,0
29,0,1.245657,1
30,0,0.605037,1
31,1,-1.677953,0
32,1,-1.765136,0
33,0,1.19101,0
34,1,0.487086,0
35,0,-0.630435,0
36,0,0.449068,0
37,0,0.661633,0
38,0,0.210193,0
39,1,-0.825824,0
40,0,-0.006967,0
41,0,-0.262421,0
42,0,0.080435,0
43,0,-1.888885,0
44,0,-0.161438,0
45,1,0.72868,0
46,0,-0.962981,0
47,0,-0.548373,0
48,0,0.041043,0
49,1,1.733331,0
50,0,-0.017991,0
51,1,1.080854,0
52,0,0.362656,0
53,1,0.383603,0
54,1,-0.151749,0
55,0,0.538096,0
56,1,-0.033465,0
57,0,1.157046,0
58,0,0.257946,0
59,1,-0.294882,0
60,0,-1.818306,0
61,1,-0.523374,0
62,1,2.218936,1
63,1,0.118698,0
64,0,0.321648,0
65,0,-0.384429,0
66,0,1.106712,0
67,0,-0.582357,0
68,0,-0.380657,0
69,0,1.757984,0
70,1,-0.233635,0
71,0,0.192296,0
72,1,0.473248,0
73,1,0.027213,0
74,0,0.758269,0
75,0,0.018127,0
76,0,0.337196,0
77,0,1.861705,1
78,0,-1.73888,0
79,0,0.103747,0
80,0,1.195763,0
81,0,-0.150594,1
82,0,-0.918972,0
83,1,-1.26958,0
84,0,0.811709,0
85,0,0.750115,0
86,1,-0.686328,0
87,1,-0.62076,0
88,1,-0.132413,0
89,0,0.206045,0
90,1,-0.007933,0
91,0,0.551668,1
92,1,-2.883782,0
93,0,0.373284,0
94,1,0.689276,1
95,0,0.756514,0
96,1,-1.231319,0
97,0,-0.631528,0
98,0,0.974455,0
99,0,-0.673267,0
100,1,0.452981,0
101,0,-0.532894,0
102,0,-0.488134,0
103,1,1.417125,0
104,0,-0.827327,0
105,1,1.076079,1
106,1,-1.254746,0
107,1,0.175239,0
108,0,0.091975,0
109,0,0.736333,1
110,1,0.72409,0
111,0,-2.567353,0
112,0,-0.34984,0
113,0,0.703284,0
114,1,-0.099085,0
